Name,Lat,Long,Phone Number,Address
Kin Kao,49.2763558,-123.06969240000001,(604) 558-1125,903 Commercial Dr Vancouver BC V5L Canada
BLVD Bistro,49.3121583,-123.05694289999997,(604) 971-5559,636 Queensbury Avenue North Vancouver BC Canada
The Park Pub,49.2869438,-123.14073719999999,(604) 682-1831,1755 Davie Street Vancouver BC Canada
Original Joe’s,49.2786026,-123.1160448,(778) 379-8410,298 Robson St Vancouver BC V6B 6A1 Canada
Nammos Estiatorio,49.2500554,-123.08979899999997,(604) 428-6850,3890 Fraser Street Vancouver BC Canada
Big Feast Bistro,49.2191835,-122.59376170000002,(604) 477-4334,11920 227 Street Maple Ridge BC Canada
Rhinofish Noodle Bar,49.27960840000001,-123.09950789999999,(604) 428-3389,550 Main Street Vancouver BC V6A 2T9 Canada
Cartems Donuts West Pender,49.28360079999999,-123.11384570000001,(604) 671-6015,534 West Pender Street Vancouver BC Canada
The Arbor,49.2499422,-123.10123249999998,(604) 620-3256,3941 Main Street Vancouver BC V5V 3P2 Canada
Nomad,49.2498714,-123.10078299999998,(604) 708-8525,3950 Main Street Vancouver British Columbia Canada
The Blarney Stone,49.28270200000001,-123.10415439999997,(604) 687-4322,216 Carrall Street Vancouver BC Canada
Cartems Donuts Main Street,49.2655725,-123.10075589999997,(778) 707-1114,2190 Main Street Vancouver BC Canada
Bayside Lounge,49.2869438,-123.14073719999999,(604) 682-1831,1755 Davie Street Vancouver BC Canada
Culver City Salads,49.2876082,-123.11968819999998,(604) 306-0383,1095 West Pender Street Vancouver BC Canada
Big Smoke Alehouse,49.2173239,-122.59501310000002,(604) 477-3010,22641 Lougheed Highway Maple Ridge BC Canada
Chickpea,49.2465536,-123.10104360000003,(604) 620-0602,4298 Main Street Vancouver BC Canada
Juke Fried Chicken,49.2792406,-123.10023820000004,(604) 336-5853,182 Keefer St Vancouver BC V6A 1X4 Canada
Cinara,49.28254459999999,-123.11203720000003,(604) 428-9694,350 West Pender Street Vancouver BC Canada
Jam Jar – South Granville,49.2617012,-123.13834170000001,(604) 733-2211,1488 W 11th Ave Vancouver BC Canada
Field  Social,49.2820323,-123.1137531,(778) 379-6500,415 Dunsmuir Street Vancouver BC Canada
Faculty Brewing Co,49.2686702,-123.10453519999999,(778) 819-6794,1830 Ontario St Vancouver BC V5T 2W6 Canada
Luppolo Brewing Co.,49.2769065,-123.08052140000001,(604) 255-4997,1123 Venables St Vancouver BC V6A 2C6 Canada
Fable Diner,49.2630872,-123.10130809999998,(604) 563-3463,151 East Broadway Vancouver BC V5T 1W1 Canada
Meet In Yaletown,49.2749415,-123.12179909999998,(604) 696-1165,1165 Mainland St Vancouver BC V6B 5P2 Canada
La Petite Cuillère,49.2634614,-123.09975359999999,(604) 298-0088,55 Kingsway Vancouver BC Canada
Westcoast Poke,49.264087,-123.11386429999999,(778) 379-5344,463 West 8th Avenue Vancouver BC V5Y 3Z5 Canada
Via Tevere Pizzeria,49.27385959999999,-123.06544070000001,(604) 336-1803,1190 Victoria Drive Vancouver BC Canada
Original’s Mexicano,49.2775297,-122.86205459999996,(604) 936 9069,2231 Clarke Street Port Moody BC Canada
Me-n-Ed’s Pizza Parlor,49.2492591,-122.86053129999999,(604) 931-2468,1121 Austin Avenue Coquitlam BC Canada
Me-n-Ed’s Pizza Parlor,49.219078,-122.9546077,(604) 521-8881,7110 Hall Avenue Burnaby BC Canada
Me-n-Ed’s Pizza Parlor,49.219078,-122.9546077,(604) 521-8881,7110 Hall Avenue Burnaby BC Canada
Me-n-Ed’s Pizza Parlor,49.2620854,-122.77885960000003,(604) 942-1200,2233 McAllister Avenue Port Coquitlam BC Canada
Me-n-Ed’s Pizza Parlor,49.1052641,-122.66054120000001,(604) 534 3400,20270 Fraser Highway Langley BC Canada
Heritage Asian Eatery,49.28755080000001,-123.12106819999997,(778) 737-1108,1108 West Pender Street Vancouver BC Canada
Slickity Jim’s,49.25402349999999,-123.10106129999997,(604) 873-6760,3475 Main Street Vancouver BC Canada
Dixie’s BBQ,49.2815544,-123.0966219,(778) 379-4770,337 East Hastings Street Vancouver BC Canada
Bistro 101 – Pacific Institute of Culinary Arts,49.2696254,-123.13818630000003,(604) 734 0101,1505 West 2nd Avenue Vancouver BC Canada
Greenderful,49.2788379,-123.09949890000001, (778) 681-9910,636 Main Street Vancouver BC Canada
Fortitude,49.1698596,-122.57794530000001,(604) 371 1377,9220 Glover Road Langley BC Canada
Colony Northwoods,49.3053785,-123.01780280000003,,2100 Dollarton Highway North Vancouver BC Canada
